order_id,created_at,channel,gross,currency,customer_email
NO-29469669,2026-01-12T01:09:00Z,direct,32.37,USD,c1636@example.invalid
NO-29469772,2026-01-12T02:52:00Z,direct,201.96,USD,c13@example.invalid
NO-29469823,2026-01-12T03:43:00Z,email,79.13,USD,c1212@example.invalid
NO-29469885,2026-01-12T04:45:00Z,facebook,85.04,USD,c83@example.invalid
NO-29469948,2026-01-12T05:48:00Z,direct,115.16,USD,c1869@example.invalid
NO-29470029,2026-01-12T07:09:00Z,google,70.93,USD,c1399@example.invalid
NO-29470109,2026-01-12T08:29:00Z,facebook,148.25,USD,c2078@example.invalid
NO-29470204,2026-01-12T10:04:00Z,google,98.20,USD,c530@example.invalid
NO-29470227,2026-01-12T10:27:00Z,email,159.35,USD,c1220@example.invalid
NO-29470296,2026-01-12T11:36:00Z,email,190.20,USD,c2583@example.invalid
NO-29470386,2026-01-12T13:06:00Z,facebook,197.61,USD,c662@example.invalid
NO-29470440,2026-01-12T14:00:00Z,facebook,32.43,USD,c1139@example.invalid
NO-29470545,2026-01-12T15:45:00Z,facebook,48.54,USD,c2452@example.invalid
NO-29470606,2026-01-12T16:46:00Z,facebook,139.50,USD,c3926@example.invalid
NO-29470673,2026-01-12T17:53:00Z,facebook,132.13,USD,c3143@example.invalid
NO-29470735,2026-01-12T18:55:00Z,facebook,171.94,USD,c3680@example.invalid
NO-29470780,2026-01-12T19:40:00Z,direct,42.24,USD,c2352@example.invalid
NO-29470887,2026-01-12T21:27:00Z,facebook,87.90,USD,c2055@example.invalid
NO-29470961,2026-01-12T22:41:00Z,direct,98.11,USD,c1540@example.invalid
NO-29470995,2026-01-12T23:15:00Z,google,177.07,USD,c3377@example.invalid
NO-29471081,2026-01-13T00:41:00Z,google,94.32,USD,c3679@example.invalid
NO-29471175,2026-01-13T02:15:00Z,google,183.94,USD,c56@example.invalid
NO-29471237,2026-01-13T03:17:00Z,google,125.06,USD,c1515@example.invalid
NO-29471318,2026-01-13T04:38:00Z,facebook,54.02,USD,c2419@example.invalid
NO-29471386,2026-01-13T05:46:00Z,direct,116.05,USD,c3220@example.invalid
NO-29471478,2026-01-13T07:18:00Z,google,219.59,USD,c1290@example.invalid
NO-29471520,2026-01-13T08:00:00Z,email,109.38,USD,c2589@example.invalid
NO-29471626,2026-01-13T09:46:00Z,google,74.83,USD,c2755@example.invalid
NO-29471715,2026-01-13T11:15:00Z,email,125.33,USD,c3485@example.invalid
NO-29471744,2026-01-13T11:44:00Z,google,101.49,USD,c1738@example.invalid
NO-29471810,2026-01-13T12:50:00Z,google,179.77,USD,c1909@example.invalid
NO-29471895,2026-01-13T14:15:00Z,facebook,112.50,USD,c1888@example.invalid
NO-29471993,2026-01-13T15:53:00Z,email,185.68,USD,c682@example.invalid
NO-29472071,2026-01-13T17:11:00Z,google,213.51,USD,c2759@example.invalid
NO-29472161,2026-01-13T18:41:00Z,email,175.66,USD,c2186@example.invalid
NO-29472223,2026-01-13T19:43:00Z,direct,123.52,USD,c3526@example.invalid
NO-29472305,2026-01-13T21:05:00Z,facebook,91.63,USD,c2069@example.invalid
NO-29472378,2026-01-13T22:18:00Z,facebook,36.76,USD,c1839@example.invalid
NO-29472413,2026-01-13T22:53:00Z,google,163.81,USD,c2037@example.invalid
NO-29472484,2026-01-14T00:04:00Z,direct,106.26,USD,c3894@example.invalid
NO-29472514,2026-01-14T00:34:00Z,email,24.07,USD,c783@example.invalid
NO-29472587,2026-01-14T01:47:00Z,email,116.91,USD,c906@example.invalid
NO-29472654,2026-01-14T02:54:00Z,direct,95.20,USD,c2394@example.invalid
NO-29472711,2026-01-14T03:51:00Z,google,137.10,USD,c606@example.invalid
NO-29472763,2026-01-14T04:43:00Z,direct,160.52,USD,c312@example.invalid
NO-29472866,2026-01-14T06:26:00Z,direct,24.94,USD,c330@example.invalid
NO-29472930,2026-01-14T07:30:00Z,google,203.30,USD,c2471@example.invalid
NO-29472993,2026-01-14T08:33:00Z,email,161.53,USD,c3775@example.invalid
NO-29473078,2026-01-14T09:58:00Z,facebook,82.22,USD,c2762@example.invalid
NO-29473183,2026-01-14T11:43:00Z,email,59.21,USD,c2941@example.invalid
NO-29473223,2026-01-14T12:23:00Z,facebook,206.38,USD,c1856@example.invalid
NO-29473247,2026-01-14T12:47:00Z,direct,82.14,USD,c3143@example.invalid
NO-29473308,2026-01-14T13:48:00Z,facebook,196.01,USD,c1190@example.invalid
NO-29473383,2026-01-14T15:03:00Z,email,130.29,USD,c281@example.invalid
NO-29473432,2026-01-14T15:52:00Z,google,194.57,USD,c551@example.invalid
NO-29473539,2026-01-14T17:39:00Z,direct,111.87,USD,c235@example.invalid
NO-29473633,2026-01-14T19:13:00Z,email,211.88,USD,c654@example.invalid
NO-29473731,2026-01-14T20:51:00Z,google,77.27,USD,c3500@example.invalid
NO-29473810,2026-01-14T22:10:00Z,facebook,142.67,USD,c1728@example.invalid
NO-29473848,2026-01-14T22:48:00Z,email,135.17,USD,c3656@example.invalid
NO-29473884,2026-01-14T23:24:00Z,direct,178.10,USD,c342@example.invalid
NO-29473906,2026-01-14T23:46:00Z,email,90.55,USD,c2983@example.invalid
NO-29473978,2026-01-15T00:58:00Z,email,94.92,USD,c1401@example.invalid
NO-29474047,2026-01-15T02:07:00Z,google,159.51,USD,c2306@example.invalid
NO-29474109,2026-01-15T03:09:00Z,facebook,84.47,USD,c3054@example.invalid
NO-29474193,2026-01-15T04:33:00Z,facebook,136.84,USD,c340@example.invalid
NO-29474259,2026-01-15T05:39:00Z,email,102.89,USD,c3625@example.invalid
NO-29474293,2026-01-15T06:13:00Z,direct,198.51,USD,c2233@example.invalid
NO-29474325,2026-01-15T06:45:00Z,direct,197.33,USD,c1853@example.invalid
NO-29474392,2026-01-15T07:52:00Z,facebook,107.15,USD,c2885@example.invalid
NO-29474452,2026-01-15T08:52:00Z,email,179.86,USD,c1890@example.invalid
NO-29474521,2026-01-15T10:01:00Z,direct,149.06,USD,c302@example.invalid
NO-29474610,2026-01-15T11:30:00Z,direct,140.98,USD,c111@example.invalid
NO-29474638,2026-01-15T11:58:00Z,email,33.96,USD,c2285@example.invalid
NO-29474667,2026-01-15T12:27:00Z,google,149.33,USD,c906@example.invalid
NO-29474726,2026-01-15T13:26:00Z,email,195.90,USD,c3072@example.invalid
NO-29474814,2026-01-15T14:54:00Z,facebook,161.58,USD,c3154@example.invalid
NO-29474849,2026-01-15T15:29:00Z,email,157.10,USD,c855@example.invalid
NO-29474883,2026-01-15T16:03:00Z,google,80.99,USD,c1970@example.invalid
NO-29474965,2026-01-15T17:25:00Z,facebook,196.35,USD,c3543@example.invalid
NO-29475057,2026-01-15T18:57:00Z,google,203.30,USD,c3000@example.invalid
NO-29475095,2026-01-15T19:35:00Z,email,38.29,USD,c1971@example.invalid
NO-29475198,2026-01-15T21:18:00Z,email,160.41,USD,c1378@example.invalid
NO-29475238,2026-01-15T21:58:00Z,google,62.25,USD,c2419@example.invalid
NO-29475297,2026-01-15T22:57:00Z,facebook,62.16,USD,c1315@example.invalid
NO-29475318,2026-01-15T23:18:00Z,direct,204.87,USD,c3300@example.invalid
NO-29475383,2026-01-16T00:23:00Z,google,77.43,USD,c3661@example.invalid
NO-29475447,2026-01-16T01:27:00Z,direct,20.32,USD,c112@example.invalid
NO-29475474,2026-01-16T01:54:00Z,email,169.78,USD,c1412@example.invalid
NO-29475558,2026-01-16T03:18:00Z,email,32.80,USD,c1265@example.invalid
NO-29475628,2026-01-16T04:28:00Z,facebook,127.69,USD,c681@example.invalid
NO-29475698,2026-01-16T05:38:00Z,google,43.40,USD,c3132@example.invalid
NO-29475763,2026-01-16T06:43:00Z,email,95.85,USD,c3625@example.invalid
NO-29475805,2026-01-16T07:25:00Z,email,92.77,USD,c3150@example.invalid
NO-29475858,2026-01-16T08:18:00Z,direct,160.15,USD,c3369@example.invalid
NO-29475911,2026-01-16T09:11:00Z,email,91.35,USD,c2750@example.invalid
NO-29475940,2026-01-16T09:40:00Z,google,202.34,USD,c1192@example.invalid
NO-29475989,2026-01-16T10:29:00Z,google,34.33,USD,c2748@example.invalid
NO-29476096,2026-01-16T12:16:00Z,facebook,131.72,USD,c2642@example.invalid
NO-29476118,2026-01-16T12:38:00Z,direct,53.91,USD,c2695@example.invalid
NO-29476140,2026-01-16T13:00:00Z,email,28.21,USD,c3575@example.invalid
NO-29476246,2026-01-16T14:46:00Z,email,88.12,USD,c161@example.invalid
NO-29476281,2026-01-16T15:21:00Z,direct,191.60,USD,c1162@example.invalid
NO-29476336,2026-01-16T16:16:00Z,google,70.53,USD,c2303@example.invalid
NO-29476386,2026-01-16T17:06:00Z,google,192.15,USD,c1859@example.invalid
NO-29476442,2026-01-16T18:02:00Z,email,164.91,USD,c2871@example.invalid
NO-29476497,2026-01-16T18:57:00Z,direct,63.16,USD,c3265@example.invalid
NO-29476594,2026-01-16T20:34:00Z,google,30.81,USD,c1648@example.invalid
NO-29476654,2026-01-16T21:34:00Z,facebook,171.27,USD,c872@example.invalid
NO-29476728,2026-01-16T22:48:00Z,direct,219.85,USD,c1951@example.invalid
NO-29476809,2026-01-17T00:09:00Z,email,148.73,USD,c2588@example.invalid
NO-29476838,2026-01-17T00:38:00Z,facebook,97.99,USD,c1888@example.invalid
NO-29476867,2026-01-17T01:07:00Z,google,137.10,USD,c1413@example.invalid
NO-29476901,2026-01-17T01:41:00Z,facebook,92.60,USD,c1161@example.invalid
NO-29476954,2026-01-17T02:34:00Z,facebook,125.62,USD,c1717@example.invalid
NO-29477052,2026-01-17T04:12:00Z,google,196.17,USD,c2180@example.invalid
NO-29477127,2026-01-17T05:27:00Z,google,219.98,USD,c3856@example.invalid
NO-29477208,2026-01-17T06:48:00Z,direct,152.01,USD,c1281@example.invalid
NO-29477262,2026-01-17T07:42:00Z,email,154.28,USD,c3577@example.invalid
NO-29477337,2026-01-17T08:57:00Z,facebook,108.19,USD,c900@example.invalid
NO-29477372,2026-01-17T09:32:00Z,direct,52.48,USD,c3779@example.invalid
NO-29477435,2026-01-17T10:35:00Z,direct,126.13,USD,c1037@example.invalid
NO-29477484,2026-01-17T11:24:00Z,email,93.49,USD,c3102@example.invalid
NO-29477543,2026-01-17T12:23:00Z,direct,161.97,USD,c2514@example.invalid
NO-29477630,2026-01-17T13:50:00Z,direct,118.58,USD,c955@example.invalid
NO-29477675,2026-01-17T14:35:00Z,email,199.29,USD,c3366@example.invalid
NO-29477760,2026-01-17T16:00:00Z,google,145.08,USD,c2770@example.invalid
NO-29477781,2026-01-17T16:21:00Z,direct,202.41,USD,c2846@example.invalid
NO-29477880,2026-01-17T18:00:00Z,google,155.80,USD,c3522@example.invalid
NO-29477966,2026-01-17T19:26:00Z,direct,29.68,USD,c1698@example.invalid
NO-29478024,2026-01-17T20:24:00Z,google,171.61,USD,c1263@example.invalid
NO-29478045,2026-01-17T20:45:00Z,facebook,196.96,USD,c1498@example.invalid
NO-29478086,2026-01-17T21:26:00Z,direct,155.92,USD,c1681@example.invalid
NO-29478120,2026-01-17T22:00:00Z,email,43.79,USD,c3272@example.invalid
NO-29478160,2026-01-17T22:40:00Z,google,55.02,USD,c1952@example.invalid
NO-29478197,2026-01-17T23:17:00Z,facebook,78.85,USD,c1397@example.invalid
NO-29478231,2026-01-17T23:51:00Z,direct,207.97,USD,c498@example.invalid
